Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets;Texto_Traduz;Classificação_Blob;percent_pos_blob;percent_neg_blob;Azure_Sentiment;Azure_percent_pos;Azure_percent_neg;Azure_percent_neutro;Classificacao_flair;percent_pos_flar;percent_neg_flar;Percent_Media_final;Class_final
MetSul.com;metsul;2022-11-23 23:34:15+00:00;"TEMPO | Veja em vídeo com a meteorologista  o aviso sobre excesso de chuva em muitas áreas do Brasil neste fim de novembro. 

▶️  ";0;0;0;"TIME | Watch a video with the meteorologist warning about excessive rain in many areas of Brazil at the end of November.

🇧🇷";pos;0.5691236110043212;0.4308763889956797;mixed;0.25;0.51;0.24;NEGATIVE;0.014366328716278076;0.9856336712837219;0.2282651812052682;Negativo
Pedrinho romântico;pedrinhofobia;2022-11-23 23:34:14+00:00;1 2x1 Brasil amanha;0;0;0;1 2x1 Brazil tomorrow;pos;0.525;0.4750000000000001;neutral;0.01;0.0;0.99;POSITIVE;0.7535344958305359;0.2464655041694641;0.2960098559515817;Negativo
Ellin🇧🇷| WAYV IS BACK| WORLD CUP BRAZIL CHAMPION;t3npallet;2022-11-23 23:34:14+00:00;"Quero que o Ten se manifeste sobre a copa , 
suas b-10velys aguardam a torcida pro Brasil 🧐";0;0;0;"I want Ten to speak about the cup,
your b-10velys await the fans for Brazil 🧐";pos;0.5647718219643492;0.4352281780356488;positive;0.52;0.05;0.44;POSITIVE;0.8365959525108337;0.16340404748916626;0.6168519609980024;Neutro
OLOBO - 🇧🇷 SEM CAMINHÃO O BRASIL PARA 🇧🇷- 👍;TraderEdson;2022-11-23 23:34:14+00:00; que se foda;0;0;0;fuck you;neg;0.4565322619681497;0.5434677380318502;negative;0.04;0.88;0.09;NEGATIVE;0.47674036026000977;0.5232596397399902;0.22428756892688131;Negativo
Bezerra;Bezerra32174359;2022-11-23 23:34:14+00:00; Tanta coisa acontecendo de importante no Brasil e você está preocupado com máscara?;0;0;0;So much important stuff going on in Brazil and you're worried about masks?;neg;0.1086302178146817;0.8913697821853178;negative;0.08;0.79;0.13;POSITIVE;0.767013430595398;0.23298656940460205;0.28037958271506824;Negativo
Corneteiro Alvinegro;corneteiro1910;2022-11-23 23:34:13+00:00;Infelizmente o Brasil tem que baixar a crista e saber jogar o jogo, se for pra cima sem ninguém voltar pra defender pode dar merda.;0;0;0;Unfortunately, Brazil has to lower the crest and know how to play the game, if it goes up without anyone coming back to defend, it could be shit.;neg;0.106083420609912;0.8939165793900894;negative;0.0;1.0;0.0;NEGATIVE;0.12591367959976196;0.874086320400238;0.05113011140134799;Negativo
silveiraᶜʳᶠ rumo ao HEXA 🇧🇷;SilveiraJoao_;2022-11-23 23:34:13+00:00;Palpites pro jogo do Brasil amanhã? Acho que vai ser 2x0, um do Vini Jr e um do Richarlison;0;0;0;Guesses for the Brazil game tomorrow? I think it will be 2x0, one for Vini Jr and one for Richarlison;pos;0.5887025533011256;0.4112974466988738;neutral;0.03;0.01;0.96;NEGATIVE;0.0014262199401855469;0.9985737800598145;0.1016507133116424;Negativo
INMET;inmet_;2022-11-23 23:34:13+00:00; Olá Luciano. Quem faz esse monitoramento no Brasil é o nosso parceiro Instituto Nacional de Pesquisas Espaciais (Inpe).;0;0;0;Hi Luciano. Who does this monitoring in Brazil is our partner National Institute for Space Research (Inpe).;pos;0.8965222761613661;0.1034777238386346;neutral;0.0;0.0;1.0;POSITIVE;0.9956621527671814;0.0043378472328186035;0.41254951167081844;Neutro
Mys. Pinning World;unnamed512;2022-11-23 23:34:13+00:00;"ARREPIEI TODO AQUI
É ISSO AÍ, CRIME TEM QUE SER PUNIDO!!!!
gente até gelei com o breaking news da  ExpressoCNN 
Como estou CANSADO dessa aparelhagem do jurídico por fins políticos, essas narrativas insuportáveis desse Brasil paralelo etéreo e umbral";0;0;0;"I GOT EVERYTHING HERE
THAT'S IT, CRIME MUST BE PUNISHED!!!!
we even froze with ExpressoCNN's breaking news
How TIRED I am of this juridical apparatus for political purposes, these unbearable narratives of this ethereal and threshold parallel Brazil";pos;0.7756209956828718;0.2243790043171235;negative;0.0;1.0;0.0;NEGATIVE;0.0031303763389587402;0.9968696236610413;0.11169739262296989;Negativo
Igor do SUS 🆙;igordosus;2022-11-23 23:34:12+00:00;"ATENÇÃO! NOTICIA URGENTE! 

Hoje, dia 23/11, foi registrado no Brasil o 1° caso da doença do PASSARO! 

PASSARO PAU NO PL E NO BOLSONARO KKKJJKKKJJJKKKJJJKKJJJKKJJJK SE FODERAM ";0;0;0;"ATTENTION! URGENT NEWS!

Today, 11/23, the 1st case of PASSARO disease was registered in Brazil!

PASSARO PAU NO PL AND BOLSONARO LOL";pos;0.6435347157234257;0.3564652842765766;mixed;0.3;0.55;0.15;POSITIVE;0.8976798057556152;0.10232019424438477;0.519842046747808;Neutro
Anaxy9;Anaxy91;2022-11-23 23:34:12+00:00;  Pela amor de deus‚ torcer para um país que e extremamente xenofóbico com a gente e que toda vez chama a gente de macaco‚ vc só pode gostar de ser chamada de macaco. Vc tem que ter orgulho do Brasil por ser o ÚNICO país que tem 5 mundias e Argentina só e tudo assim pq tem o Messi;0;0;0;For the love of god, cheering for a country that is extremely xenophobic with us and that every time calls us a monkey, you can only enjoy being called a monkey. You have to be proud of Brazil for being the ONLY country that has 5 worlds and Argentina alone and everything like that because there's Messi;pos;0.6661251849888349;0.3338748150111628;positive;0.93;0.06;0.01;POSITIVE;0.7839027047157288;0.21609729528427124;0.8505615134886132;Positivo
Fernando Brasil;83Fernandolima;2022-11-23 23:34:12+00:00;@77_frota Só conheço o Bolsonaro que levou agora pro nordeste ,;0;0;0;@77_fleta I only know Bolsonaro who took him to the northeast now,;pos;0.8676502739423334;0.1323497260576656;neutral;0.02;0.0;0.98;POSITIVE;0.5095787644386292;0.49042123556137085;0.28097254325994164;Negativo
Casa Brasil;CasaBrasil9;2022-11-23 23:34:11+00:00; Toca o pau nesses golpistas o responsável todos sabem quem é Bolsonaro golpista.;0;0;0;Touch the dick on these scammers, the responsible everyone knows who Bolsonaro is a scammer.;pos;0.7773744633749757;0.2226255366250237;negative;0.02;0.97;0.01;POSITIVE;0.9943641424179077;0.005635857582092285;0.4065861068872559;Neutro
nanna;acquiersce;2022-11-23 23:34:11+00:00;sim vamo jogar voces pra fora da copa aqui é brasil porraaaa ;0;0;0;yes we are going to throw you out of the cup this is brazil porraaaa;neg;0.1963674104321928;0.803632589567808;neutral;0.05;0.02;0.93;NEGATIVE;0.04974973201751709;0.9502502679824829;0.07083812492388956;Negativo
Bella Caldas 🇧🇷🇧🇷 A bandeira é do Brasil;CaldasBella;2022-11-23 23:34:11+00:00;"😂😂😂😂😂
VALDEMAR NA CADEIA ";0;0;0;"🇧🇷
VALDEMAR IN JAIL";pos;0.5241935483870969;0.4758064516129031;positive;0.67;0.09;0.24;NEGATIVE;0.004746556282043457;0.9952534437179565;0.4590980944215977;Neutro
Marianinha.❤️‍🔥;badgallmhary;2022-11-23 23:34:11+00:00;Amei minha blusa do Brasil 😍💚💛;0;0;0;I loved my blouse from Brazil 😍💚💛;pos;0.5762873586582896;0.4237126413417104;positive;1.0;0.0;0.0;POSITIVE;0.9971119165420532;0.0028880834579467773;0.9386444559631995;Positivo
OPovoQuerSaber🇧🇷;GenerinoRamiro;2022-11-23 23:34:11+00:00;"As suprimidas cortes _oficial e  com os ministros atuais não teriam nenhuma moral ou confiança para realizar novas eleições, nem as sagradas urnas
- Impasse Mexicano
Alô  SOS FFAA Salvem o Brasil ";0;0;0;"The suppressed courts _official and with the current ministers would have no morals or confidence to hold new elections, nor would the sacred ballot boxes
- Mexican standoff
Hello SOS FFAA Save Brazil";pos;0.999700417514272;0.0002995824857199;negative;0.02;0.98;0.01;NEGATIVE;0.004200637340545654;0.9957993626594543;0.1554430988850519;Negativo
Mrs. Shelby;meninadaalfa;2022-11-23 23:34:10+00:00;O dia amanhã se resume a jogo do Brasil e nada mais;0;0;0;Tomorrow comes down to the Brazil game and nothing else;neg;0.4285090014193441;0.5714909985806556;neutral;0.11;0.04;0.85;NEGATIVE;0.10084027051925659;0.8991597294807434;0.15288422035112248;Negativo
🍒Paty, mulher do Léo ♡;PatySoelo;2022-11-23 23:34:10+00:00;Indianos se matando por Brasil e Argentina, mais que brasileiros e argentinos 🤡 ;0;0;0;Indians killing each other for Brazil and Argentina, more than Brazilians and Argentines 🤡;neg;0.4094882697159954;0.5905117302840038;negative;0.24;0.73;0.03;NEGATIVE;0.0004437565803527832;0.9995562434196472;0.19576796898238585;Negativo
